borrower_id,age,state,annual_income,employment_status,housing_status,dti_ratio,years_at_current_residence,credit_history_years,fico_score,fico_band
BOR100000,19,MO,54000.0,Full-time,Rent,44.1,1.2,1,672,Fair (620-679)
BOR100001,42,VA,68200.0,Full-time,Own,40.1,3.2,25,587,Poor (<620)
BOR100002,28,AZ,62700.0,Full-time,Rent,32.2,2.7,6,655,Fair (620-679)
BOR100003,49,CO,47300.0,Full-time,Rent,44.3,14.0,32,657,Fair (620-679)
BOR100004,38,TN,71300.0,Full-time,Rent,13.9,2.2,20,735,Good (680-739)
BOR100005,65,AZ,28000.0,Part-time,Own,42.1,10.0,48,651,Fair (620-679)
BOR100006,38,AZ,105700.0,Part-time,Own,28.9,2.0,20,668,Fair (620-679)
BOR100007,46,GA,32900.0,Part-time,Own,38.3,4.3,28,652,Fair (620-679)
BOR100008,38,CA,34600.0,Full-time,Mortgage,42.1,0.7,19,589,Poor (<620)
BOR100009,22,NJ,36000.0,Self-employed,Rent,33.9,7.1,5,638,Fair (620-679)
BOR100010,39,IL,34800.0,Full-time,Rent,32.7,6.1,18,655,Fair (620-679)
BOR100011,50,NJ,42800.0,Full-time,Rent,28.1,5.7,32,685,Good (680-739)
BOR100012,48,NV,42000.0,Full-time,Mortgage,48.9,2.9,30,716,Good (680-739)
BOR100013,37,IL,49400.0,Self-employed,Rent,35.4,11.7,19,665,Fair (620-679)
BOR100014,24,TX,32300.0,Full-time,Rent,34.2,2.6,1,664,Fair (620-679)
BOR100015,49,GA,50300.0,Self-employed,Rent,47.1,2.3,29,568,Poor (<620)
BOR100016,46,GA,28500.0,Full-time,Rent,27.0,0.5,24,715,Good (680-739)
BOR100017,51,IN,64800.0,Self-employed,Mortgage,29.5,3.2,32,635,Fair (620-679)
BOR100018,38,AZ,64500.0,Full-time,Rent,41.4,3.8,16,729,Good (680-739)
BOR100019,21,MN,46500.0,Full-time,Rent,49.7,5.1,3,766,Very Good (740-799)
BOR100020,47,IN,34800.0,Full-time,Rent,32.4,0.2,27,668,Fair (620-679)
BOR100021,41,NJ,53600.0,Full-time,Rent,35.9,3.1,25,613,Poor (<620)
BOR100022,58,NV,31300.0,Full-time,Mortgage,16.1,4.9,40,679,Fair (620-679)
BOR100023,41,PA,47400.0,Full-time,Mortgage,44.8,5.2,21,703,Good (680-739)
BOR100024,40,CA,43600.0,Full-time,Mortgage,21.2,5.8,21,659,Fair (620-679)
BOR100025,46,FL,152300.0,Full-time,Mortgage,26.6,5.1,24,643,Fair (620-679)
BOR100026,34,MD,26800.0,Full-time,Mortgage,33.9,1.4,14,717,Good (680-739)
BOR100027,33,VA,18000.0,Full-time,Rent,25.5,1.6,13,712,Good (680-739)
BOR100028,40,PA,35000.0,Full-time,Mortgage,12.6,9.9,23,657,Fair (620-679)
BOR100029,30,WA,21500.0,Retired,Mortgage,19.6,6.6,10,572,Poor (<620)
BOR100030,38,NY,33600.0,Full-time,Rent,33.0,0.2,22,710,Good (680-739)
BOR100031,64,MD,26000.0,Part-time,Mortgage,47.0,8.2,45,630,Fair (620-679)
BOR100032,54,NJ,31000.0,Full-time,Own,46.2,3.5,38,694,Good (680-739)
BOR100033,45,MI,28900.0,Part-time,Rent,35.8,1.8,25,690,Good (680-739)
