loan_id,borrower_id,origination_date,origination_state,vintage_quarter,loan_amount,term_months,interest_rate,loan_purpose,origination_channel,current_status,current_balance,days_past_due,is_delinquent,is_closed,last_performance_month
LN500000,BOR100000,2025-02-22,MO,2025Q1,6360.0,60,0.1638,Debt Consolidation,Online,Current,5545.42,0,False,False,2025-12-01
LN500001,BOR100001,2025-11-07,VA,2025Q4,11160.0,60,0.2274,Debt Consolidation,Branch,Current,10955.16,0,False,False,2025-12-01
LN500002,BOR100002,2024-07-05,AZ,2024Q3,29950.0,60,0.1948,Debt Consolidation,Partner,Current,23763.99,0,False,False,2025-12-01
LN500003,BOR100003,2025-07-17,CO,2025Q3,17270.0,36,0.1785,Debt Consolidation,Partner,Current,14989.71,0,False,False,2025-12-01
LN500004,BOR100004,2025-11-06,TN,2025Q4,15460.0,60,0.1046,Home Improvement,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500005,BOR100005,2024-07-26,AZ,2024Q3,21930.0,60,0.1801,Debt Consolidation,Online,Paid_Off,0.0,0,False,True,2025-09-01
LN500006,BOR100006,2024-03-07,AZ,2024Q1,8490.0,48,0.1606,Debt Consolidation,Online,Current,5259.77,0,False,False,2025-12-01
LN500007,BOR100007,2025-04-22,GA,2025Q2,11730.0,48,0.206,Medical,Broker,Current,10193.37,0,False,False,2025-12-01
LN500008,BOR100008,2025-06-06,CA,2025Q2,15570.0,24,0.237,Debt Consolidation,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500009,BOR100009,2024-12-25,NJ,2024Q4,15780.0,60,0.1924,Major Purchase,Online,30DPD,14850.59,30,True,False,2025-07-01
LN500010,BOR100010,2025-04-19,IL,2025Q2,14110.0,36,0.1751,Debt Consolidation,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500011,BOR100011,2024-05-14,NJ,2024Q2,6100.0,48,0.1682,Other,Online,Current,4040.08,0,False,False,2025-12-01
LN500012,BOR100012,2024-08-08,NV,2024Q3,9670.0,48,0.1332,Auto,Broker,Current,6813.11,0,False,False,2025-12-01
LN500013,BOR100013,2024-03-02,IL,2024Q1,12380.0,60,0.1571,Home Improvement,Broker,Current,8911.27,0,False,False,2025-12-01
LN500014,BOR100014,2025-01-15,TX,2025Q1,7850.0,48,0.1401,Debt Consolidation,Online,Paid_Off,0.0,0,False,True,2025-10-01
LN500015,BOR100015,2025-03-07,GA,2025Q1,7950.0,48,0.2477,Debt Consolidation,Online,30DPD,7806.3,30,True,False,2025-06-01
LN500016,BOR100016,2025-09-12,GA,2025Q3,17130.0,36,0.1473,Major Purchase,Branch,Current,15576.57,0,False,False,2025-12-01
