loan_id,performance_month,ending_balance_usd,scheduled_payment_usd,payment_made_usd,days_past_due,delinquency_status
LN500000,2025-02-01,6290.86,155.95,155.95,0,Current
LN500000,2025-03-01,6220.78,155.95,155.95,0,Current
LN500000,2025-04-01,6149.75,155.95,155.95,0,Current
LN500000,2025-05-01,6077.74,155.95,155.95,0,Current
LN500000,2025-06-01,6004.75,155.95,155.95,0,Current
LN500000,2025-07-01,5930.77,155.95,155.95,0,Current
LN500000,2025-08-01,5855.77,155.95,155.95,0,Current
LN500000,2025-09-01,5779.75,155.95,155.95,0,Current
LN500000,2025-10-01,5702.7,155.95,155.95,0,Current
LN500000,2025-11-01,5624.59,155.95,155.95,0,Current
LN500000,2025-12-01,5545.42,155.95,155.95,0,Current
LN500001,2025-11-01,11058.54,312.94,312.94,0,Current
LN500001,2025-12-01,10955.16,312.94,312.94,0,Current
LN500002,2024-07-01,29651.34,784.85,784.85,0,Current
LN500002,2024-08-01,29347.83,784.85,784.85,0,Current
LN500002,2024-09-01,29039.39,784.85,784.85,0,Current
LN500002,2024-10-01,28725.95,784.85,784.85,0,Current
LN500002,2024-11-01,28407.42,784.85,784.85,0,Current
LN500002,2024-12-01,28083.71,784.85,784.85,0,Current
LN500002,2025-01-01,27754.75,784.85,784.85,0,Current
LN500002,2025-02-01,27420.46,784.85,784.85,0,Current
LN500002,2025-03-01,27080.73,784.85,784.85,0,Current
LN500002,2025-04-01,26735.49,784.85,784.85,0,Current
LN500002,2025-05-01,26384.65,784.85,784.85,0,Current
LN500002,2025-06-01,26028.11,784.85,784.85,0,Current
LN500002,2025-07-01,25665.78,784.85,784.85,0,Current
LN500002,2025-08-01,25297.57,784.85,784.85,0,Current
LN500002,2025-09-01,24923.39,784.85,784.85,0,Current
LN500002,2025-10-01,24543.13,784.85,784.85,0,Current
LN500002,2025-11-01,24156.69,784.85,784.85,0,Current
LN500002,2025-12-01,23763.99,784.85,784.85,0,Current
LN500003,2025-07-01,16903.84,623.05,623.05,0,Current
LN500003,2025-08-01,16532.24,623.05,623.05,0,Current
LN500003,2025-09-01,16155.1,623.05,623.05,0,Current
LN500003,2025-10-01,15772.36,623.05,623.05,0,Current
LN500003,2025-11-01,15383.92,623.05,623.05,0,Current
LN500003,2025-12-01,14989.71,623.05,623.05,0,Current
LN500004,2025-11-01,15262.77,331.99,331.99,0,Current
LN500004,2025-12-01,0.0,331.99,15262.77,0,Paid_Off
LN500005,2024-07-01,21702.13,557.0,557.0,0,Current
LN500005,2024-08-01,21470.85,557.0,557.0,0,Current
LN500005,2024-09-01,21236.09,557.0,557.0,0,Current
LN500005,2024-10-01,20997.81,557.0,557.0,0,Current
LN500005,2024-11-01,20755.95,557.0,557.0,0,Current
LN500005,2024-12-01,20510.46,557.0,557.0,0,Current
LN500005,2025-01-01,20261.29,557.0,557.0,0,Current
LN500005,2025-02-01,20008.38,557.0,557.0,0,Current
LN500005,2025-03-01,19751.67,557.0,557.0,0,Current
LN500005,2025-04-01,19491.11,557.0,557.0,0,Current
LN500005,2025-05-01,19226.64,557.0,557.0,0,Current
LN500005,2025-06-01,18958.2,557.0,557.0,0,Current
LN500005,2025-07-01,18685.73,557.0,557.0,0,Current
LN500005,2025-08-01,18409.17,557.0,557.0,0,Current
LN500005,2025-09-01,0.0,557.0,18409.17,0,Paid_Off
LN500006,2024-03-01,8362.75,240.87,240.87,0,Current
LN500006,2024-04-01,8233.81,240.87,240.87,0,Current
LN500006,2024-05-01,8103.13,240.87,240.87,0,Current
LN500006,2024-06-01,7970.71,240.87,240.87,0,Current
LN500006,2024-07-01,7836.51,240.87,240.87,0,Current
LN500006,2024-08-01,7700.52,240.87,240.87,0,Current
LN500006,2024-09-01,7562.71,240.87,240.87,0,Current
LN500006,2024-10-01,7423.05,240.87,240.87,0,Current
LN500006,2024-11-01,7281.53,240.87,240.87,0,Current
LN500006,2024-12-01,7138.11,240.87,240.87,0,Current
LN500006,2025-01-01,6992.77,240.87,240.87,0,Current
LN500006,2025-02-01,6845.49,240.87,240.87,0,Current
LN500006,2025-03-01,6696.24,240.87,240.87,0,Current
LN500006,2025-04-01,6544.98,240.87,240.87,0,Current
LN500006,2025-05-01,6391.71,240.87,240.87,0,Current
LN500006,2025-06-01,6236.38,240.87,240.87,0,Current
LN500006,2025-07-01,6078.97,240.87,240.87,0,Current
LN500006,2025-08-01,5919.46,240.87,240.87,0,Current
LN500006,2025-09-01,5757.81,240.87,240.87,0,Current
LN500006,2025-10-01,5594.0,240.87,240.87,0,Current
LN500006,2025-11-01,5428.0,240.87,240.87,0,Current
LN500006,2025-12-01,5259.77,240.87,240.87,0,Current
LN500007,2025-04-01,11570.66,360.71,360.71,0,Current
LN500007,2025-05-01,11408.57,360.71,360.71,0,Current
LN500007,2025-06-01,11243.71,360.71,360.71,0,Current
LN500007,2025-07-01,11076.02,360.71,360.71,0,Current
LN500007,2025-08-01,10905.45,360.71,360.71,0,Current
LN500007,2025-09-01,10731.95,360.71,360.71,0,Current
LN500007,2025-10-01,10555.47,360.71,360.71,0,Current
LN500007,2025-11-01,10375.96,360.71,360.71,0,Current
LN500007,2025-12-01,10193.37,360.71,360.71,0,Current
LN500008,2025-06-01,15056.64,820.87,820.87,0,Current
LN500008,2025-07-01,14533.14,820.87,820.87,0,Current
LN500008,2025-08-01,13999.3,820.87,820.87,0,Current
LN500008,2025-09-01,13454.91,820.87,820.87,0,Current
LN500008,2025-10-01,12899.78,820.87,820.87,0,Current
LN500008,2025-11-01,12333.68,820.87,820.87,0,Current
LN500008,2025-12-01,0.0,820.87,12333.68,0,Paid_Off
LN500009,2024-12-01,15621.58,411.43,411.43,0,Current
LN500009,2025-01-01,15460.61,411.43,411.43,0,Current
LN500009,2025-02-01,15297.07,411.43,411.43,0,Current
LN500009,2025-03-01,15130.9,411.43,411.43,0,Current
LN500009,2025-04-01,14962.07,411.43,411.43,0,Current
LN500009,2025-05-01,14790.53,411.43,411.43,0,Current
LN500009,2025-06-01,14616.24,411.43,411.43,0,Current
LN500009,2025-07-01,14850.59,411.43,0.0,30,30DPD
LN500010,2025-04-01,13809.24,506.65,506.65,0,Current
LN500010,2025-05-01,13504.09,506.65,506.65,0,Current
LN500010,2025-06-01,13194.49,506.65,506.65,0,Current
LN500010,2025-07-01,12880.36,506.65,506.65,0,Current
LN500010,2025-08-01,12561.66,506.65,506.65,0,Current
LN500010,2025-09-01,12238.31,506.65,506.65,0,Current
LN500010,2025-10-01,11910.23,506.65,506.65,0,Current
LN500010,2025-11-01,11577.37,506.65,506.65,0,Current
LN500010,2025-12-01,0.0,506.65,11577.37,0,Paid_Off
LN500011,2024-05-01,6010.05,175.45,175.45,0,Current
LN500011,2024-06-01,5918.84,175.45,175.45,0,Current
LN500011,2024-07-01,5826.36,175.45,175.45,0,Current
LN500011,2024-08-01,5732.57,175.45,175.45,0,Current
LN500011,2024-09-01,5637.47,175.45,175.45,0,Current
LN500011,2024-10-01,5541.04,175.45,175.45,0,Current
LN500011,2024-11-01,5443.26,175.45,175.45,0,Current
LN500011,2024-12-01,5344.1,175.45,175.45,0,Current
LN500011,2025-01-01,5243.56,175.45,175.45,0,Current
LN500011,2025-02-01,5141.61,175.45,175.45,0,Current
LN500011,2025-03-01,5038.23,175.45,175.45,0,Current
LN500011,2025-04-01,4933.4,175.45,175.45,0,Current
LN500011,2025-05-01,4827.1,175.45,175.45,0,Current
LN500011,2025-06-01,4719.31,175.45,175.45,0,Current
LN500011,2025-07-01,4610.0,175.45,175.45,0,Current
LN500011,2025-08-01,4499.17,175.45,175.45,0,Current
LN500011,2025-09-01,4386.78,175.45,175.45,0,Current
LN500011,2025-10-01,4272.82,175.45,175.45,0,Current
LN500011,2025-11-01,4157.26,175.45,175.45,0,Current
LN500011,2025-12-01,4040.08,175.45,175.45,0,Current
LN500012,2024-08-01,9516.38,260.96,260.96,0,Current
LN500012,2024-09-01,9361.05,260.96,260.96,0,Current
LN500012,2024-10-01,9204.0,260.96,260.96,0,Current
LN500012,2024-11-01,9045.2,260.96,260.96,0,Current
LN500012,2024-12-01,8884.64,260.96,260.96,0,Current
LN500012,2025-01-01,8722.3,260.96,260.96,0,Current
LN500012,2025-02-01,8558.16,260.96,260.96,0,Current
LN500012,2025-03-01,8392.2,260.96,260.96,0,Current
LN500012,2025-04-01,8224.39,260.96,260.96,0,Current
LN500012,2025-05-01,8054.72,260.96,260.96,0,Current
LN500012,2025-06-01,7883.17,260.96,260.96,0,Current
LN500012,2025-07-01,7709.71,260.96,260.96,0,Current
LN500012,2025-08-01,7534.33,260.96,260.96,0,Current
LN500012,2025-09-01,7357.0,260.96,260.96,0,Current
LN500012,2025-10-01,7177.7,260.96,260.96,0,Current
LN500012,2025-11-01,6996.41,260.96,260.96,0,Current
LN500012,2025-12-01,6813.11,260.96,260.96,0,Current
LN500013,2024-03-01,12242.92,299.15,299.15,0,Current
LN500013,2024-04-01,12104.06,299.15,299.15,0,Current
LN500013,2024-05-01,11963.37,299.15,299.15,0,Current
LN500013,2024-06-01,11820.84,299.15,299.15,0,Current
LN500013,2024-07-01,11676.44,299.15,299.15,0,Current
LN500013,2024-08-01,11530.16,299.15,299.15,0,Current
LN500013,2024-09-01,11381.96,299.15,299.15,0,Current
LN500013,2024-10-01,11231.81,299.15,299.15,0,Current
LN500013,2024-11-01,11079.71,299.15,299.15,0,Current
LN500013,2024-12-01,10925.61,299.15,299.15,0,Current
LN500013,2025-01-01,10769.49,299.15,299.15,0,Current
LN500013,2025-02-01,10611.33,299.15,299.15,0,Current
LN500013,2025-03-01,10451.1,299.15,299.15,0,Current
LN500013,2025-04-01,10288.78,299.15,299.15,0,Current
LN500013,2025-05-01,10124.32,299.15,299.15,0,Current
LN500013,2025-06-01,9957.72,299.15,299.15,0,Current
LN500013,2025-07-01,9788.93,299.15,299.15,0,Current
LN500013,2025-08-01,9617.93,299.15,299.15,0,Current
LN500013,2025-09-01,9444.7,299.15,299.15,0,Current
LN500013,2025-10-01,9269.2,299.15,299.15,0,Current
LN500013,2025-11-01,9091.4,299.15,299.15,0,Current
LN500013,2025-12-01,8911.27,299.15,299.15,0,Current
LN500014,2025-01-01,7727.1,214.55,214.55,0,Current
LN500014,2025-02-01,7602.76,214.55,214.55,0,Current
LN500014,2025-03-01,7476.97,214.55,214.55,0,Current
LN500014,2025-04-01,7349.72,214.55,214.55,0,Current
LN500014,2025-05-01,7220.98,214.55,214.55,0,Current
LN500014,2025-06-01,7090.73,214.55,214.55,0,Current
LN500014,2025-07-01,6958.97,214.55,214.55,0,Current
LN500014,2025-08-01,6825.66,214.55,214.55,0,Current
LN500014,2025-09-01,6690.8,214.55,214.55,0,Current
LN500014,2025-10-01,0.0,214.55,6690.8,0,Paid_Off
LN500015,2025-03-01,7851.52,262.58,262.58,0,Current
LN500015,2025-04-01,7751.01,262.58,262.58,0,Current
LN500015,2025-05-01,7648.42,262.58,262.58,0,Current
LN500015,2025-06-01,7806.3,262.58,0.0,30,30DPD
LN500016,2025-09-01,16748.72,591.55,591.55,0,Current
LN500016,2025-10-01,16362.76,591.55,591.55,0,Current
LN500016,2025-11-01,15972.06,591.55,591.55,0,Current
LN500016,2025-12-01,15576.57,591.55,591.55,0,Current
LN500017,2024-01-01,6326.42,167.74,167.74,0,Current
LN500017,2024-02-01,6261.8,167.74,167.74,0,Current
LN500017,2024-03-01,6196.12,167.74,167.74,0,Current
LN500017,2024-04-01,6129.38,167.74,167.74,0,Current
LN500017,2024-05-01,6061.55,167.74,167.74,0,Current
LN500017,2024-06-01,5992.61,167.74,167.74,0,Current
LN500017,2024-07-01,5922.55,167.74,167.74,0,Current
LN500017,2024-08-01,5851.35,167.74,167.74,0,Current
LN500017,2024-09-01,5778.99,167.74,167.74,0,Current
LN500017,2024-10-01,5705.45,167.74,167.74,0,Current
LN500017,2024-11-01,5630.7,167.74,167.74,0,Current
LN500017,2024-12-01,5554.74,167.74,167.74,0,Current
LN500017,2025-01-01,5477.55,167.74,167.74,0,Current
LN500017,2025-02-01,5399.09,167.74,167.74,0,Current
LN500017,2025-03-01,5319.36,167.74,167.74,0,Current
LN500017,2025-04-01,5238.32,167.74,167.74,0,Current
LN500017,2025-05-01,5155.97,167.74,167.74,0,Current
LN500017,2025-06-01,5072.27,167.74,167.74,0,Current
LN500017,2025-07-01,4987.21,167.74,167.74,0,Current
LN500017,2025-08-01,4900.76,167.74,167.74,0,Current
LN500017,2025-09-01,4812.9,167.74,167.74,0,Current
LN500017,2025-10-01,4723.61,167.74,167.74,0,Current
LN500017,2025-11-01,4632.87,167.74,167.74,0,Current
LN500017,2025-12-01,4540.64,167.74,167.74,0,Current
LN500018,2025-07-01,7005.2,240.38,240.38,0,Current
LN500018,2025-08-01,6838.67,240.38,240.38,0,Current
LN500018,2025-09-01,6670.38,240.38,240.38,0,Current
LN500018,2025-10-01,6500.32,240.38,240.38,0,Current
LN500018,2025-11-01,0.0,240.38,6500.32,0,Paid_Off
LN500019,2025-08-01,9867.12,221.36,221.36,0,Current
LN500019,2025-09-01,9743.04,221.36,221.36,0,Current
LN500019,2025-10-01,9617.73,221.36,221.36,0,Current
LN500019,2025-11-01,9491.18,221.36,221.36,0,Current
LN500019,2025-12-01,9363.39,221.36,221.36,0,Current
LN500020,2025-07-01,28930.73,1034.55,1034.55,0,Current
LN500020,2025-08-01,28273.0,1034.55,1034.55,0,Current
LN500020,2025-09-01,27606.71,1034.55,1034.55,0,Current
LN500020,2025-10-01,26931.74,1034.55,1034.55,0,Current
LN500020,2025-11-01,26247.97,1034.55,1034.55,0,Current
LN500020,2025-12-01,25555.3,1034.55,1034.55,0,Current
LN500021,2025-04-01,25134.07,968.87,968.87,0,Current
LN500021,2025-05-01,24609.02,968.87,968.87,0,Current
LN500021,2025-06-01,24074.71,968.87,968.87,0,Current
LN500021,2025-07-01,23530.96,968.87,968.87,0,Current
LN500021,2025-08-01,22977.6,968.87,968.87,0,Current
LN500021,2025-09-01,22414.48,968.87,968.87,0,Current
LN500021,2025-10-01,21841.41,968.87,968.87,0,Current
LN500021,2025-11-01,21258.22,968.87,968.87,0,Current
LN500021,2025-12-01,20664.74,968.87,968.87,0,Current
LN500022,2025-06-01,5887.96,210.7,210.7,0,Current
LN500022,2025-07-01,5754.2,210.7,210.7,0,Current
LN500022,2025-08-01,5829.39,210.7,0.0,30,30DPD
LN500023,2025-04-01,10810.01,303.03,303.03,0,Current
LN500023,2025-05-01,10637.96,303.03,303.03,0,Current
LN500023,2025-06-01,10463.83,303.03,303.03,0,Current
LN500023,2025-07-01,10287.59,303.03,303.03,0,Current
LN500023,2025-08-01,10109.21,303.03,303.03,0,Current
LN500023,2025-09-01,9928.67,303.03,303.03,0,Current
LN500023,2025-10-01,9745.94,303.03,303.03,0,Current
LN500023,2025-11-01,9561.0,303.03,303.03,0,Current
LN500023,2025-12-01,9373.81,303.03,303.03,0,Current
LN500024,2024-05-01,21312.63,640.86,640.86,0,Current
LN500024,2024-06-01,21000.52,640.86,640.86,0,Current
LN500024,2024-07-01,20683.59,640.86,640.86,0,Current
LN500024,2024-08-01,20361.77,640.86,640.86,0,Current
LN500024,2024-09-01,20034.99,640.86,640.86,0,Current
LN500024,2024-10-01,19703.17,640.86,640.86,0,Current
LN500024,2024-11-01,19366.23,640.86,640.86,0,Current
LN500024,2024-12-01,19024.1,640.86,640.86,0,Current
LN500024,2025-01-01,18676.69,640.86,640.86,0,Current
LN500024,2025-02-01,18323.91,640.86,640.86,0,Current
LN500024,2025-03-01,17965.7,640.86,640.86,0,Current
LN500024,2025-04-01,17601.96,640.86,640.86,0,Current
LN500024,2025-05-01,17232.61,640.86,640.86,0,Current
LN500024,2025-06-01,16857.56,640.86,640.86,0,Current
LN500024,2025-07-01,16476.73,640.86,640.86,0,Current
LN500024,2025-08-01,16090.03,640.86,640.86,0,Current
LN500024,2025-09-01,15697.35,640.86,640.86,0,Current
LN500024,2025-10-01,15298.63,640.86,640.86,0,Current
LN500024,2025-11-01,14893.75,640.86,640.86,0,Current
LN500024,2025-12-01,14482.62,640.86,640.86,0,Current
LN500025,2025-02-01,29674.52,1119.12,1119.12,0,Current
LN500025,2025-03-01,30157.96,1119.12,0.0,30,30DPD
LN500025,2025-04-01,30649.29,1119.12,0.0,60,60DPD
LN500025,2025-05-01,31148.62,1119.12,0.0,90,90DPD
LN500026,2024-07-01,8862.31,318.57,318.57,0,Current
LN500026,2024-08-01,8661.97,318.57,318.57,0,Current
LN500026,2024-09-01,8458.97,318.57,318.57,0,Current
LN500026,2024-10-01,8253.26,318.57,318.57,0,Current
LN500026,2024-11-01,8044.8,318.57,318.57,0,Current
LN500026,2024-12-01,7833.56,318.57,318.57,0,Current
LN500026,2025-01-01,7619.5,318.57,318.57,0,Current
LN500026,2025-02-01,7402.59,318.57,318.57,0,Current
LN500026,2025-03-01,7182.78,318.57,318.57,0,Current
LN500026,2025-04-01,6960.04,318.57,318.57,0,Current
LN500026,2025-05-01,6734.33,318.57,318.57,0,Current
LN500026,2025-06-01,6505.61,318.57,318.57,0,Current
LN500026,2025-07-01,6273.83,318.57,318.57,0,Current
LN500026,2025-08-01,6038.97,318.57,318.57,0,Current
LN500026,2025-09-01,0.0,318.57,6038.97,0,Paid_Off
LN500027,2025-03-01,16784.8,468.66,468.66,0,Current
LN500027,2025-04-01,16516.44,468.66,468.66,0,Current
LN500027,2025-05-01,16244.88,468.66,468.66,0,Current
LN500027,2025-06-01,15970.07,468.66,468.66,0,Current
LN500027,2025-07-01,15691.99,468.66,468.66,0,Current
LN500027,2025-08-01,15410.59,468.66,468.66,0,Current
LN500027,2025-09-01,15125.83,468.66,468.66,0,Current
LN500027,2025-10-01,14837.67,468.66,468.66,0,Current
LN500027,2025-11-01,14546.07,468.66,468.66,0,Current
LN500027,2025-12-01,14250.99,468.66,468.66,0,Current
LN500028,2025-08-01,8637.08,446.35,446.35,0,Current
LN500028,2025-09-01,8319.49,446.35,446.35,0,Current
LN500028,2025-10-01,7997.17,446.35,446.35,0,Current
LN500028,2025-11-01,7670.05,446.35,446.35,0,Current
LN500028,2025-12-01,7338.05,446.35,446.35,0,Current
LN500029,2025-11-01,23289.83,659.03,0.0,30,30DPD
LN500029,2025-12-01,23758.93,659.03,0.0,60,60DPD
LN500030,2025-05-01,11274.18,259.9,259.9,0,Current
LN500030,2025-06-01,11136.89,259.9,259.9,0,Current
LN500030,2025-07-01,10998.1,259.9,259.9,0,Current
LN500030,2025-08-01,10857.81,259.9,259.9,0,Current
LN500030,2025-09-01,10715.99,259.9,259.9,0,Current
LN500030,2025-10-01,10572.62,259.9,259.9,0,Current
LN500030,2025-11-01,10427.7,259.9,259.9,0,Current
LN500030,2025-12-01,10281.2,259.9,259.9,0,Current
LN500031,2025-02-01,12256.8,660.95,660.95,0,Current
LN500031,2025-03-01,11825.66,660.95,660.95,0,Current
LN500031,2025-04-01,11386.45,660.95,660.95,0,Current
LN500031,2025-05-01,10938.99,660.95,660.95,0,Current
LN500031,2025-06-01,10483.15,660.95,660.95,0,Current
LN500031,2025-07-01,10018.76,660.95,660.95,0,Current
LN500031,2025-08-01,9545.66,660.95,660.95,0,Current
LN500031,2025-09-01,9063.69,660.95,660.95,0,Current
LN500031,2025-10-01,8572.68,660.95,660.95,0,Current
LN500031,2025-11-01,8072.47,660.95,660.95,0,Current
LN500031,2025-12-01,7562.88,660.95,660.95,0,Current
LN500032,2024-05-01,6691.26,182.46,182.46,0,Current
LN500032,2024-06-01,6581.35,182.46,182.46,0,Current
LN500032,2024-07-01,6470.24,182.46,182.46,0,Current
LN500032,2024-08-01,6357.93,182.46,182.46,0,Current
LN500032,2024-09-01,6244.4,182.46,182.46,0,Current
LN500032,2024-10-01,6129.64,182.46,182.46,0,Current
LN500032,2024-11-01,6013.63,182.46,182.46,0,Current
LN500032,2024-12-01,5896.37,182.46,182.46,0,Current
LN500032,2025-01-01,5777.84,182.46,182.46,0,Current
LN500032,2025-02-01,5658.02,182.46,182.46,0,Current
LN500032,2025-03-01,5536.9,182.46,182.46,0,Current
LN500032,2025-04-01,5414.47,182.46,182.46,0,Current
LN500032,2025-05-01,5290.71,182.46,182.46,0,Current
LN500032,2025-06-01,5165.61,182.46,182.46,0,Current
LN500032,2025-07-01,5039.16,182.46,182.46,0,Current
LN500032,2025-08-01,4911.33,182.46,182.46,0,Current
LN500032,2025-09-01,4782.12,182.46,182.46,0,Current
LN500032,2025-10-01,4651.5,182.46,182.46,0,Current
LN500032,2025-11-01,4519.47,182.46,182.46,0,Current
LN500032,2025-12-01,4386.01,182.46,182.46,0,Current
LN500033,2024-07-01,20590.4,1034.46,1034.46,0,Current
LN500033,2024-08-01,19811.27,1034.46,1034.46,0,Current
LN500033,2024-09-01,19022.46,1034.46,1034.46,0,Current
LN500033,2024-10-01,18223.88,1034.46,1034.46,0,Current
LN500033,2024-11-01,17415.4,1034.46,1034.46,0,Current
LN500033,2024-12-01,16596.89,1034.46,1034.46,0,Current
LN500033,2025-01-01,15768.23,1034.46,1034.46,0,Current
LN500033,2025-02-01,14929.3,1034.46,1034.46,0,Current
LN500033,2025-03-01,14079.96,1034.46,1034.46,0,Current
LN500033,2025-04-01,13220.09,1034.46,1034.46,0,Current
LN500033,2025-05-01,12349.56,1034.46,1034.46,0,Current
LN500033,2025-06-01,11468.24,1034.46,1034.46,0,Current
LN500033,2025-07-01,10575.98,1034.46,1034.46,0,Current
LN500033,2025-08-01,9672.66,1034.46,1034.46,0,Current
LN500033,2025-09-01,8758.15,1034.46,1034.46,0,Current
LN500033,2025-10-01,7832.29,1034.46,1034.46,0,Current
LN500033,2025-11-01,6894.95,1034.46,1034.46,0,Current
LN500033,2025-12-01,5945.98,1034.46,1034.46,0,Current
LN500034,2024-04-01,16726.01,659.41,659.41,0,Current
LN500034,2024-05-01,16385.65,659.41,659.41,0,Current
LN500034,2024-06-01,16038.79,659.41,659.41,0,Current
LN500034,2024-07-01,15685.32,659.41,659.41,0,Current
LN500034,2024-08-01,15325.11,659.41,659.41,0,Current
LN500034,2024-09-01,14958.03,659.41,659.41,0,Current
LN500034,2024-10-01,14583.94,659.41,659.41,0,Current
LN500034,2024-11-01,14202.72,659.41,659.41,0,Current
LN500034,2024-12-01,13814.23,659.41,659.41,0,Current
LN500034,2025-01-01,14077.73,659.41,0.0,30,30DPD
LN500034,2025-02-01,14346.27,659.41,0.0,60,60DPD
LN500034,2025-03-01,14619.92,659.41,0.0,90,90DPD
LN500035,2025-06-01,15513.61,557.2,557.2,0,Current
LN500035,2025-07-01,15162.61,557.2,557.2,0,Current
LN500035,2025-08-01,14806.94,557.2,557.2,0,Current
LN500035,2025-09-01,14446.55,557.2,557.2,0,Current
LN500035,2025-10-01,14081.37,557.2,557.2,0,Current
LN500035,2025-11-01,13711.34,557.2,557.2,0,Current
LN500035,2025-12-01,13336.38,557.2,557.2,0,Current
LN500036,2024-12-01,11043.77,305.82,305.82,0,Current
LN500036,2025-01-01,10865.51,305.82,305.82,0,Current
LN500036,2025-02-01,10685.18,305.82,305.82,0,Current
LN500036,2025-03-01,10502.78,305.82,305.82,0,Current
LN500036,2025-04-01,10318.26,305.82,305.82,0,Current
LN500036,2025-05-01,10131.62,305.82,305.82,0,Current
LN500036,2025-06-01,9942.82,305.82,305.82,0,Current
LN500036,2025-07-01,9751.84,305.82,305.82,0,Current
LN500036,2025-08-01,9558.65,305.82,305.82,0,Current
LN500036,2025-09-01,9363.24,305.82,305.82,0,Current
LN500036,2025-10-01,9165.56,305.82,305.82,0,Current
